,y,x,street_count,address,name,id,highway
280,41.2906282,-72.9632442,1,"72RP+7P West Haven, CT, USA",72RP+7P West Haven,10839559743,
281,41.2906561,-72.96325,4,"72RP+7M West Haven, CT, USA",72RP+7M West Haven,10839559744,crossing
282,41.2907094,-72.9632607,3,"72RP+7M West Haven, CT, USA",72RP+7M West Haven,10839559745,
283,41.2906435,-72.9633926,1,"72RP+7J West Haven, CT, USA",72RP+7J West Haven,10839559746,
284,41.2892157,-72.9659786,3,"46 Rockview St, West Haven, CT 06516, USA",46 Rockview St,10847123841,
285,41.289081,-72.9658822,3,"46 Rockview St, West Haven, CT 06516, USA",46 Rockview St,10847123855,
286,41.2898299,-72.9627621,4,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,10971672081,crossing
287,41.2897826,-72.9628551,3,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,10971672097,
288,41.2900092,-72.962849,3,"33 Ruden Pl, West Haven, CT 06516, USA",33 Ruden Pl,10971672099,
289,41.2896443,-72.9631255,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,10971672103,
290,41.2893314,-72.963131,3,"4 Ruden Pl, West Haven, CT 06516, USA",4 Ruden Pl,10971672104,
291,41.2893146,-72.9631764,4,"4 Ruden Pl, West Haven, CT 06516, USA",4 Ruden Pl,10971723725,crossing
292,41.2891775,-72.9630918,3,"123 Ruden St, West Haven, CT 06516, USA",123 Ruden St,10971723726,
293,41.2889141,-72.9631001,3,"123 Ruden St, West Haven, CT 06516, USA",123 Ruden St,10971723727,
294,41.2884197,-72.9591592,1,"1080 Campbell Ave, West Haven, CT 06516, USA",1080 Campbell Ave,11187909373,
295,41.2883043,-72.9589404,3,"1076 Campbell Ave, West Haven, CT 06516, USA",1076 Campbell Ave,11187909376,
296,41.2888864,-72.9595368,3,"1082 Campbell Ave, West Haven, CT 06516, USA",1082 Campbell Ave,11187909378,
297,41.2906643,-72.9633509,4,"72RP+7M West Haven, CT, USA",72RP+7M West Haven,11193555686,crossing
298,41.2910239,-72.9652891,4,"Orange Ave @ Hoffman St, West Haven, CT 06516, USA",Orange Ave @ Hoffman St,11254263321,
299,41.2916356,-72.9636566,3,"390 Boston Post Rd, West Haven, CT 06516, USA",390 Boston Post Rd,11254263325,
300,41.2915544,-72.963882,3,"459 Boston Post Rd, West Haven, CT 06516, USA",459 Boston Post Rd,11254263326,
301,41.2913506,-72.9644204,3,"424 Boston Post Rd, West Haven, CT 06516, USA",424 Boston Post Rd,11254263328,
302,41.2893814,-72.961724,3,"20 Ricardo St, West Haven, CT 06516, USA",20 Ricardo St,11254263330,
303,41.2903129,-72.966914,3,"Orange Ave & Rockview St, West Haven, CT 06516, USA",Orange Ave & Rockview St,11254372299,
304,41.2908816,-72.9654402,4,"Orange Ave @ opp Hoffman St, West Haven, CT 06516, USA",Orange Ave @ opp Hoffman St,11254372305,
305,41.2909542,-72.9652427,4,"Orange Ave @ opp Hoffman St, West Haven, CT 06516, USA",Orange Ave @ opp Hoffman St,11254372306,
306,41.2912761,-72.9643775,4,"424 Boston Post Rd, West Haven, CT 06516, USA",424 Boston Post Rd,11254372307,
307,41.2903443,-72.9668326,3,"Orange Ave @ opp Rockview St, West Haven, CT 06516, USA",Orange Ave @ opp Rockview St,11254372308,
308,41.2904934,-72.9663632,3,"504 Boston Post Rd, West Haven, CT 06516, USA",504 Boston Post Rd,11254372330,
309,41.2904276,-72.9656533,3,"422 Boston Post Rd, West Haven, CT 06516, USA",422 Boston Post Rd,11254372333,
310,41.2903978,-72.9657313,3,"422 Boston Post Rd, West Haven, CT 06516, USA",422 Boston Post Rd,11254372334,
311,41.2902637,-72.9655543,4,"9 Daytona St, West Haven, CT 06516, USA",9 Daytona St,11254372335,
312,41.2891079,-72.9656632,3,"24 Rockview St, West Haven, CT 06516, USA",24 Rockview St,11254375544,
313,41.2903549,-72.9658439,3,"488 Boston Post Rd, West Haven, CT 06516, USA",488 Boston Post Rd,11254375545,
314,41.2903437,-72.9662214,3,"504 Boston Post Rd, West Haven, CT 06516, USA",504 Boston Post Rd,11254375555,
