,osmid,ref,name,highway,oneway,reversed,length,weight,start,end,geometry,service,lanes,maxspeed
474,103700258,,,service,FALSE,FALSE,26.602,26.34433047,5787273293,5787279995,"LINESTRING (-72.9633775 41.2901612, -72.9633684 41.2901274, -72.963355 41.2901052, -72.9632225 41.2899548)",,,
475,103700258,,,service,FALSE,TRUE,13.953,13.87148788,5787273293,6817639036,"LINESTRING (-72.9633775 41.2901612, -72.9633803 41.2902299, -72.9633681 41.2902859)",,,
476,"[259398025, 259398020]",,,service,FALSE,FALSE,160.596,68.5461183,5787273293,6828652831,"LINESTRING (-72.9633775 41.2901612, -72.9634995 41.290097, -72.9637376 41.2899812, -72.9641992 41.2897838, -72.9642741 41.2897517, -72.9640126 41.2894481, -72.9639335 41.2894773, -72.9638044 41.2895249, -72.9636659 41.2895836)",,,
477,103700258,,,service,FALSE,FALSE,10.919,10.91850248,5787279995,5787273292,,,,
478,336658627,,,footway,FALSE,FALSE,29.355,29.39652242,5787279995,3437140604,,,,
479,336658627,,,footway,FALSE,TRUE,36.748,36.80033787,5787279995,6823987638,,,,
480,103700258,,,service,FALSE,TRUE,26.602,26.34433047,5787279995,5787273293,"LINESTRING (-72.9632225 41.2899548, -72.963355 41.2901052, -72.9633684 41.2901274, -72.9633775 41.2901612)",,,
481,93800813,US 1,Boston Post Road,primary,FALSE,FALSE,1.636,1.635035259,6386984555,178655999,,,4,
482,682026815,,,primary_link,FALSE,FALSE,43.032,37.21565633,6386984555,6386984561,"LINESTRING (-72.9594965 41.2940695, -72.9594269 41.2940973, -72.9593758 41.2941096, -72.9593316 41.2941149, -72.9592874 41.2941155, -72.9592432 41.2941106, -72.959201 41.2941011, -72.9591614 41.2940881, -72.9591228 41.2940689, -72.9590923 41.2940463, -72.9590764 41.2940253, -72.9590628 41.2939967)",,,
483,974898387,CT 122,Campbell Avenue,secondary,FALSE,FALSE,16.154,16.13913743,6386984561,5106400150,,,,
484,682026815,,,primary_link,FALSE,TRUE,43.032,37.21565633,6386984561,6386984555,"LINESTRING (-72.9590628 41.2939967, -72.9590764 41.2940253, -72.9590923 41.2940463, -72.9591228 41.2940689, -72.9591614 41.2940881, -72.959201 41.2941011, -72.9592432 41.2941106, -72.9592874 41.2941155, -72.9593316 41.2941149, -72.9593758 41.2941096, -72.9594269 41.2940973, -72.9594965 41.2940695)",,,
485,336658650,,,footway,FALSE,TRUE,20.481,20.48996179,6817639011,3437140602,,,,
486,727496768,,,footway,FALSE,FALSE,36.302,36.39234303,6817639011,6817639012,,,,
487,336658650,,,footway,FALSE,FALSE,52.224,41.4497116,6817639011,3437140605,"LINESTRING (-72.9620898 41.2899024, -72.9620229 41.2898449, -72.9617793 41.290193)",,,
488,727496768,,,footway,FALSE,TRUE,36.302,36.39234303,6817639012,6817639011,,,,
489,729392416,,,footway,FALSE,FALSE,2.715,2.720499236,6817639012,3437140601,,,,
490,729392416,,,footway,FALSE,TRUE,24.309,24.35790921,6817639012,3437140602,,,,
491,729371150,,,footway,FALSE,TRUE,6.721,6.731035356,6817639022,1902860937,,,,
492,729371147,,,footway,FALSE,FALSE,42.554,41.46989016,6817639022,6833077336,"LINESTRING (-72.9611017 41.2900147, -72.961092 41.2900348, -72.9610853 41.2900558, -72.9610797 41.2900786, -72.9610803 41.2901068, -72.9610857 41.2901305, -72.9611004 41.2901662, -72.9611978 41.290381)",,,
493,729371147,,,footway,FALSE,TRUE,12.989,12.59455033,6817639022,6833077337,"LINESTRING (-72.9611017 41.2900147, -72.9611101 41.2899994, -72.9611146 41.2899856, -72.9611168 41.2899693, -72.9611168 41.2899521, -72.9611134 41.2899349, -72.9611072 41.289914, -72.9611005 41.2899013)",,,
494,729371151,,,footway,FALSE,FALSE,44.438,43.88330489,6817639022,3437140611,"LINESTRING (-72.9611017 41.2900147, -72.9611259 41.290038, -72.9611411 41.2900558, -72.9611696 41.2900909, -72.9612041 41.2901299, -72.9612407 41.2901635, -72.9612966 41.2902039, -72.9613454 41.2902329, -72.9614094 41.2902681, -72.9614688 41.2902966)",,,
495,729371150,,,footway,FALSE,FALSE,5.569,5.577834924,6817639023,1902860937,,,,
496,336658616,,,footway,FALSE,FALSE,162.777,150.4279204,6817639023,3437140667,"LINESTRING (-72.9609767 41.2899565, -72.9609435 41.2899924, -72.9609082 41.2900183, -72.9608623 41.2900392, -72.960773 41.2900746, -72.9602192 41.2902568, -72.9601339 41.2902873, -72.9600667 41.2903196, -72.9600142 41.29035, -72.9599677 41.2903798, -72.959922 41.2904135, -72.9598807 41.2904503, -72.959836 41.2904953, -72.9597933 41.2905551, -72.9597728 41.2905861, -72.9597519 41.2906263, -72.9597347 41.2906673, -72.9597194 41.2907105, -72.9597075 41.2907581, -72.9597008 41.2908001, -72.959699 41.2908406, -72.9597007 41.2909096)",,,
497,336658657,,,footway,FALSE,TRUE,16.017,15.91706857,6817639023,3437140593,"LINESTRING (-72.9609767 41.2899565, -72.9609618 41.2899196, -72.9609565 41.2898985, -72.9609405 41.28987, -72.9609268 41.2898472, -72.9609086 41.2898227)",,,
498,336658655,,,footway,FALSE,TRUE,6.074,6.084236274,6817639030,3437140591,,,,
499,336658655,,,footway,FALSE,FALSE,115.73,115.8853212,6817639030,3437140567,"LINESTRING (-72.9610369 41.2897795, -72.9611083 41.2897493, -72.9621999 41.2892144)",,,
500,729371147,,,footway,FALSE,FALSE,14.586,14.53833496,6817639030,6833077337,"LINESTRING (-72.9610369 41.2897795, -72.9610453 41.2898059, -72.9610955 41.2898918, -72.9611005 41.2899013)",,,
501,103700258,,,service,FALSE,FALSE,13.953,13.87148788,6817639036,5787273293,"LINESTRING (-72.9633681 41.2902859, -72.9633803 41.2902299, -72.9633775 41.2901612)",,,
502,103700258,,,service,FALSE,TRUE,37.044,36.79281951,6817639036,10839559639,"LINESTRING (-72.9633681 41.2902859, -72.9633402 41.2904188, -72.9633264 41.290556, -72.9633336 41.290591, -72.9633378 41.2906164)",,,
503,"[336658624, 1165375860]",,,"['footway', 'service']",FALSE,"[False, True]",57.721,52.33359511,6817639036,3437140627,"LINESTRING (-72.9633681 41.2902859, -72.9633148 41.2902744, -72.9632566 41.2902676, -72.9631777 41.2902733, -72.9631059 41.2902936, -72.9629106 41.2903866, -72.9629089 41.2904259, -72.9628092 41.2904965)",,,
504,17229394,,Rockview Street,residential,FALSE,TRUE,8.529,8.544061124,6820965786,178642791,,,,
505,17229394,,Rockview Street,residential,FALSE,FALSE,62.873,59.77644814,6820965786,178548921,"LINESTRING (-72.966578 41.2895931, -72.9665175 41.289561, -72.9664472 41.2895239, -72.9663927 41.2894881, -72.9663453 41.2894477, -72.9663129 41.289402, -72.9662829 41.2893482, -72.9662675 41.2892925, -72.9662483 41.2892054, -72.9662239 41.2891258)",,,
